,FIPS,date,confirmed_cases,confirmed_cases_smooth,num_visits_movavg_14,num_visitors_nmlz_movavg_14,risk,risk_density_weighted,risk_moving_avg,risk_moving_avg_density_weighted
351,36039.0,2020-03-13,0,1,,,2.7044952830330374e-05,0.00023319522846315557,,
352,36041.0,2020-03-13,0,1,,,0.0,0.0,,
353,36043.0,2020-03-13,1,2,,,0.00019843536668746092,0.0007483906574225482,,
354,36045.0,2020-03-13,0,1,,,0.0,0.0,,
355,36047.0,2020-03-13,0,1,,,2.185883142891852e-05,0.00019478358463322616,,
356,36049.0,2020-03-13,0,1,,,0.0,0.0,,
357,36051.0,2020-03-13,0,1,,,0.0,0.0,,
358,36053.0,2020-03-13,0,1,,,3.376430428971772e-07,1.2734065659069605e-06,,
359,36055.0,2020-03-13,1,2,,,0.0001513278918684314,0.001065129623007054,,
360,36057.0,2020-03-13,0,1,,,1.1792521479315525e-05,6.606031628401107e-05,,
361,36059.0,2020-03-13,51,52,,,0.07642568235075455,0.6466941641198253,,
362,36061.0,2020-03-13,154,155,,,0.005712710315021206,0.0637786269023539,,
363,36063.0,2020-03-13,0,1,,,1.1703473309995046e-07,8.12997921703903e-07,,
364,36065.0,2020-03-13,0,1,,,5.879584825781682e-05,0.00022174607412945812,,
365,36067.0,2020-03-13,0,1,,,3.902953440206353e-08,2.7263371645933893e-07,,
366,36069.0,2020-03-13,0,1,,,2.0106450979432e-05,0.0001413240396541466,,
367,36071.0,2020-03-13,3,4,,,0.0007948040636931666,0.004712038598108294,,
368,36073.0,2020-03-13,0,1,,,4.6267810784408133e-07,3.252067673551687e-06,,
369,36075.0,2020-03-13,0,1,,,0.0,0.0,,
370,36077.0,2020-03-13,0,1,,,5.692341551235833e-05,0.00019560366101264225,,
371,36079.0,2020-03-13,0,1,,,0.0016908593196410557,0.01302193317885199,,
372,36081.0,2020-03-13,0,1,,,0.00015466285121296458,0.001337769373185507,,
373,36083.0,2020-03-13,0,1,,,2.080528584523105e-05,0.00013428259288166873,,
