,COUNTY,STATE,COUNTYFIPS
1171,JOHNSON,IA,19103
1172,JOHNSON,IN,18081
1173,JOHNSON,KS,20091
1174,JOHNSON,KY,21115
1175,JOHNSON,MO,29101
1178,JOHNSON,TX,48251
1180,JOHNSTON,NC,37101
1183,JONES,MS,28067
1184,JONES,TX,48253
1185,JOSEPHINE,OR,41033
1189,KALAMAZOO,MI,26077
1190,KALKASKA,MI,26079
1192,KANAWHA,WV,54039
1194,KANE,IL,17089
1199,KAUFMAN,TX,48257
1203,KEITH,NE,31101
1204,KEMPER,MS,28067
1206,KENNEBEC,ME,23011
1207,KENOSHA,WI,55059
1208,KENT,DE,10001
1209,KENT,MD,24029
1210,KENT,MI,26081
1211,KENT,RI,44003
1212,KENTON,KY,21117
1215,KERR,TX,48265
1216,KERSHAW,SC,45055
1220,KING,WA,53033
1230,KITSAP,WA,53035
1237,KNOX,KY,21121
1238,KNOX,ME,23013
1240,KNOX,OH,39083
1241,KNOX,TN,47093
1245,KOOTENAI,ID,16055
1251,LA SALLE,IL,17099
1255,LACKAWANNA,PA,42069
1256,LACLEDE,MO,29105
1265,LAKE,FL,12069
1266,LAKE,IL,17097
1267,LAKE,IN,18089
1270,LAKE,OH,39085
1274,LAMAR,MS,28073
1275,LAMAR,TX,48277
1277,LAMOILLE,VT,50015
1279,LANCASTER,NE,31109
1280,LANCASTER,PA,42071
1282,LANCASTER,SC,45057
1286,LANE,OR,41039
1289,LAPEER,MI,26087
1297,LATIMER,OK,40077
1301,LAUREL,KY,21125
1302,LAURENS,GA,13175
1303,LAURENS,SC,45059
1304,LAVACA,TX,48285
1309,LAWRENCE,MO,29109
1311,LAWRENCE,OH,39087
1312,LAWRENCE,PA,42073
1314,LAWRENCE,TN,47099
1316,LE SUEUR,MN,27079
1319,LEAVENWORTH,KS,20103
1320,LEBANON,PA,42075
1322,LEE,FL,12071
1324,LEE,IL,17103
1325,LEE,MS,28081
1330,LEHIGH,PA,42077
1332,LENAWEE,MI,26091
1334,LEON,FL,12073
1337,LEVY,FL,12075
1339,LEWIS,WA,53041
1342,LEXINGTON,SC,45063
1344,LIBERTY,GA,13179
1346,LIBERTY,TX,48291
1347,LICKING,OH,39089
1353,LINCOLN,LA,22061
1357,LINCOLN,MS,28085
1359,LINCOLN,NC,37109
1367,LINCOLN,WI,55069
1370,LINN,IA,19113
1378,LIVINGSTON,MI,26093
1381,LLANO,TX,48299
1390,LORAIN,OH,39093
1393,LOUDON,TN,47105
1394,LOUDOUN,VA,51107
1396,LOWNDES,GA,13185
1397,LOWNDES,MS,28087
1398,LUBBOCK,TX,48303
1399,LUCAS,IA,19117
1400,LUCAS,OH,39095
1404,LUZERNE,PA,42079
1405,LYCOMING,PA,42081
1406,LYNCHBURG,VA,51680
1409,LYON,KS,20111
1411,LYON,NV,32019
1413,MACOMB,MI,26099
1416,MACON,IL,17115
1423,MADISON,FL,12079
1425,MADISON,ID,16065
1426,MADISON,IL,17119
1427,MADISON,IN,18095
1428,MADISON,KY,21151
1431,MADISON,MS,28089
1433,MADISON,NE,31119
1436,MADISON,TN,47113
1440,MAHONING,OH,39099
1444,MANATEE,FL,12081
1446,MANISTEE,MI,26101
1447,MANITOWOC,WI,55071
1449,MARATHON,WI,55073
1455,MARION,FL,12083
1458,MARION,IN,18097
1461,MARION,MO,29127
1462,MARION,OH,39101
1463,MARION,OR,41047
1466,MARION,WV,54049
1468,MARLBORO,SC,45069
1469,MARQUETTE,MI,26103
1472,MARSHALL,IN,18099
1474,MARSHALL,KY,21157
1479,MARSHALL,TN,47117
1480,MARSHALL,WV,54051
1481,MARTIN,FL,12085
1485,MARTINSVILLE,VA,51690
1492,MATAGORDA,TX,48321
1494,MAUI,HI,15009
1496,MAVERICK,TX,48323
1497,MAYAGUEZ,PR,72097
1508,MCHENRY,IL,17111
1510,MCINTOSH,OK,40091
1511,MCKEAN,PA,42083
1512,MCKENZIE,ND,38053
1516,MCLENNAN,TX,48309
1518,MCMINN,TN,47107
1525,MECKLENBURG,NC,37119
1528,MEDINA,OH,39103
1529,MEDINA,TX,48325
1536,MERCER,NJ,34021
1537,MERCER,OH,39107
1538,MERCER,PA,42085
1539,MERCER,WV,54055
1542,MERRIMACK,NH,33013
1544,MIAMI,IN,18103
1546,MIAMI,OH,39109
1547,MIAMI-DADE,FL,12086
1549,MIDDLESEX,MA,25017
1550,MIDDLESEX,NJ,34023
1551,MIDLAND,MI,26111
1552,MIDLAND,TX,48329
1553,MIFFLIN,PA,42087
1556,MILLE LACS,MN,27095
1560,MILWAUKEE,WI,55079
1564,MINGO,WV,54059
1566,MINNEHAHA,SD,46099
1568,MISSOULA,MT,30063
1574,MOCA,PR,72099
1579,MONMOUTH,NJ,34025
1582,MONONGALIA,WV,54061
