	AreaName	Total area in square miles 1990	Total area in square miles 2000	Land area in square miles 1980	Land area in square miles 1990	Land area in square miles 2000	Land area in square miles 2010	Water area in square miles 1990	Water area in square miles 2000	county	state
1646	Hill, MT	2916.07	2916.05	2897.29	2896.38	2896.36	2898.96	19.69	19.69	Hill	 MT
1647	Jefferson, MT	1658.89	1658.83	1656.52	1656.7	1656.64	1656.26	2.19	2.19	Jefferson	 MT
1648	Judith Basin, MT	1870.75	1870.71	1870.72	1869.89	1869.85	1869.82	0.86	0.86	Judith Basin	 MT
1649	Lake, MT	1653.75	1653.72	1444.93	1493.81	1493.77	1490.15	159.94	159.95	Lake	 MT
1650	Lewis and Clark, MT	3497.63	3497.56	3461.3	3461.03	3460.96	3458.83	36.6	36.6	Lewis and Clark	 MT
1651	Liberty, MT	1447.18	1447.19	1426.45	1429.8	1429.76	1430.05	17.38	17.44	Liberty	 MT
1652	Lincoln, MT	3675.22	3675.11	3615.86	3612.79	3612.67	3612.92	62.43	62.44	Lincoln	 MT
1653	McCone, MT	2682.84	2682.77	2626.24	2642.59	2642.53	2643.17	40.25	40.25	McCone	 MT
1654	Madison, MT	3602.93	3602.85	3589.77	3586.63	3586.54	3587.48	16.3	16.31	Madison	 MT
1655	Meagher, MT	2394.87	2394.83	2392.07	2391.85	2391.82	2391.91	3.02	3.02	Meagher	 MT
1656	Mineral, MT	1223.43	1223.38	1215.96	1219.87	1219.82	1219.44	3.56	3.56	Mineral	 MT
1657	Missoula, MT	2618.39	2618.34	2582.28	2598.21	2597.97	2593.42	20.18	20.37	Missoula	 MT
1658	Musselshell, MT	1870.94	1870.91	1870.6	1867.18	1867.15	1868.16	3.76	3.76	Musselshell	 MT
1659	Park, MT	2666.73	2813.59	2664.66	2656.16	2802.41	2803.06	10.57	11.18	Park	 MT
1660	Petroleum, MT	1674.05	1674.01	1651.96	1653.94	1653.9	1654.87	20.11	20.11	Petroleum	 MT
1661	Phillips, MT	5212.22	5212.17	5130.33	5139.88	5139.57	5140.04	72.34	72.6	Phillips	 MT
1662	Pondera, MT	1639.83	1639.85	1631.64	1624.67	1624.7	1622.86	15.16	15.16	Pondera	 MT
1663	Powder River, MT	3298.02	3297.94	3287.68	3297.26	3297.18	3297.3	0.76	0.76	Powder River	 MT
1664	Powell, MT	2332.71	2332.68	2329.31	2325.96	2325.94	2326.39	6.75	6.74	Powell	 MT
1665	Prairie, MT	1742.61	1742.56	1732.48	1736.61	1736.55	1736.74	6.0	6.0	Prairie	 MT
1666	Ravalli, MT	2400.39	2400.32	2384.17	2394.3	2394.21	2390.82	6.09	6.11	Ravalli	 MT
1667	Richland, MT	2103.08	2103.02	2081.4	2084.15	2084.09	2084.14	18.93	18.93	Richland	 MT
1668	Roosevelt, MT	2369.7	2369.65	2357.29	2355.65	2355.6	2354.79	14.05	14.05	Roosevelt	 MT
