,FIPS,Name,State,Latitudes,Longitudes
365,26135,Oscoda,MI,44.42028879999999,-83.3307974
366,26137,Otsego,MI,42.4605904,-85.696406
367,26139,Ottawa,MI,42.95302299999999,-86.0937312
368,26143,Roscommon,MI,44.4983504,-84.5919682
369,26147,St Clair,MI,42.8208653,-82.486024
370,26149,St Joseph,MI,42.0938577,-86.4895463
371,26155,Shiawassee,MI,42.949754,-84.1857115
372,26157,Tuscola,MI,43.5301144,-83.5070203
373,26159,Van Buren,MI,42.2203171,-83.4838244
374,26161,Washtenaw,MI,42.3076493,-83.8473015
375,26163,Wayne,MI,42.2814269,-83.3863214
376,27003,Anoka,MN,45.1977428,-93.3871758
377,27009,Benton,MN,45.7211058,-93.9732855
378,27013,Blue Earth,MN,43.6375818,-94.10239059999999
379,27019,Carver,MN,44.76339429999999,-93.6254404
380,27035,Crow Wing,MN,46.2799671,-94.2924998
381,27037,Dakota,MN,43.91357989999999,-91.3605035
382,27041,Douglas,MN,44.1080202,-92.57379460000001
383,27047,Freeborn,MN,43.76579,-93.5641078
384,27053,Hennepin,MN,45.0208911,-93.5094574
385,27079,Le Sueur,MN,44.4598517,-93.9113634
386,27095,Mille Lacs,MN,46.2529828,-93.6605345
387,27109,Olmsted,MN,43.995179,-92.38136209999999
388,27111,Otter Tail,MN,46.51894350000001,-95.8935983
389,27131,Rice,MN,45.7529003,-94.2223283
390,27137,St Louis,MN,47.7395106,-92.3623921
391,27139,Scott,MN,44.6834072,-93.54079089999999
392,27141,Sherburne,MN,45.4644612,-93.7298983
393,27145,Stearns,MN,45.5844792,-94.5865603
394,27163,Washington,MN,44.8896877,-92.8577105
395,28003,Alcorn,MS,31.877778,-91.139167
396,28013,Calhoun,MS,33.8839218,-89.3226954
397,28021,Claiborne,MS,31.9438205,-90.9438468
398,28033,De Soto,MS,34.9065453,-89.9626799
399,28041,Greene,MS,31.1646163,-88.7108964
400,28047,Harrison,MS,30.432087,-89.0179332
401,28049,Hinds,MS,32.2648353,-90.37483540000001
402,28051,Holmes,MS,33.16886600000001,-90.0746767
403,28067,Jones,MS,31.5343241,-89.1705998
404,28073,Lamar,MS,34.9173149,-89.31785049999999
405,28081,Lee,MS,39.04965139999999,-77.0305212
406,28085,Lincoln,MS,31.5359248,-90.52578229999999
407,28087,Lowndes,MS,33.473423,-88.4403883
408,28089,Madison,MS,32.4618086,-90.1153638
409,28109,Pearl River,MS,30.3928842,-89.6734256
410,28121,Rankin,MS,32.2653668,-89.9253233
411,28129,Smith,MS,36.1918938,-115.1242646
412,28139,Tippah,MS,34.76880970000001,-88.86469799999999
413,28149,Warren,MS,32.3989469,-90.7913227
414,28151,Washington,MS,31.5787773,-91.29927839999999
415,28155,Webster,MS,33.5707456,-89.28472510000002
416,28161,Yalobusha,MS,33.9768292,-89.6759101
417,29019,Boone,MO,39.0468547,-92.38136209999999
418,29021,Buchanan,MO,39.6349791,-94.81059549999999
419,29027,Callaway,MO,38.8886044,-91.9099238
420,29029,Camden,MO,39.19723159999999,-94.02300009999999
421,29037,Cass,MO,38.6574448,-94.315422
422,29043,Christian,MO,36.99764400000001,-93.17796589999999
423,29045,Clark,MO,39.2811499,-92.34267810000001
424,29047,Clay,MO,39.3176186,-94.479976
425,29051,Cole,MO,38.5052486,-92.2630393
426,29053,Cooper,MO,38.8693247,-92.8577105
427,29061,Daviess,MO,39.9949074,-93.9878427
428,29077,Greene,MO,37.3311215,-93.5003454
429,29085,Hickory,MO,37.9747242,-93.29861059999999
430,29091,Howell,MO,38.7440518,-90.6129359
431,29095,Jackson,MO,37.3822732,-89.6662063
432,29097,Jasper,MO,37.3361642,-94.30133599999999
433,29099,Jefferson,MO,38.57670170000001,-92.1735164
434,29101,Johnson,MO,38.6744747,-93.8248241
435,29105,Laclede,MO,39.78557929999999,-93.1665932
436,29109,Lawrence,MO,37.1500679,-93.8248241
437,29127,Marion,MO,38.6908657,-92.3662985
438,29137,Monroe,MO,39.5769588,-91.7344155
439,29145,Newton,MO,36.9618494,-94.315422
440,29155,Pemiscot,MO,36.2195399,-89.81303559999999
441,29159,Pettis,MO,38.6893153,-93.33889169999999
442,29161,Phelps,MO,37.8806538,-91.7538817
443,29165,Platte,MO,39.34756489999999,-94.7691586
444,29169,Pulaski,MO,37.8727481,-92.2236667
445,29183,St Charles,MO,38.7881062,-90.4974359
446,29189,St Louis,MO,38.6270025,-90.19940419999999
447,29201,Scott,MO,37.0394443,-89.62516459999999
448,29213,Taney,MO,36.6576378,-93.0175712
449,29221,Washington,MO,38.55810719999999,-91.01208779999999
450,29225,Webster,MO,38.5925524,-90.3573389
451,29229,Wright,MO,38.8275491,-91.0201422
452,29510,St Louis City,MO,38.6270025,-90.19940419999999
453,30031,Gallatin,MT,45.5388865,-111.1194231
454,30063,Missoula,MT,46.8721284,-113.9940314
455,30111,Yellowstone,MT,44.6621493,-111.1041092
456,31039,Cuming,NE,41.95401529999999,-96.83509989999999
457,31053,Dodge,NE,41.7211147,-96.8828111
458,31055,Douglas,NE,40.5939437,-96.3877734
459,31077,Greeley,NE,41.5487118,-98.5308417
460,31081,Hamilton,NE,40.919722,-98.04651849999999
461,31101,Keith,NE,41.1815863,-101.5248055
462,31109,Lancaster,NE,40.8471492,-96.663812
463,31119,Madison,NE,41.8279842,-97.4549636
464,31153,Sarpy,NE,41.0744042,-96.19513200000002
465,31177,Washington,NE,41.3974968,-96.2080754
466,32003,Clark,NV,39.5640791,-119.4815666
467,32019,Lyon,NV,38.9524739,-119.1390642
468,32031,Washoe,NV,40.5608387,-119.6035495
469,33001,Belknap,NH,43.5024246,-71.4073938
470,33003,Carroll,NH,44.297676,-71.5427968
471,33005,Cheshire,NH,42.9259375,-72.236379
472,33007,Coos,NH,44.7288907,-71.27872669999999
473,33009,Grafton,NH,43.561127,-71.947327
474,33011,Hillsborough,NH,43.114728,-71.895049
475,33013,Merrimack,NH,42.8678693,-71.49483219999999
476,33015,Rockingham,NH,42.9931261,-71.0497768
477,33017,Strafford,NH,43.3270251,-71.184232
478,33019,Sullivan,NH,43.01313529999999,-72.2209182
479,34001,Atlantic,NJ,39.5333379,-74.6868815
480,34003,Bergen,NJ,40.9262762,-74.07701
481,34005,Burlington,NJ,40.071222,-74.86488729999999
482,34007,Camden,NJ,39.9259463,-75.1196199
483,34009,Cape May,NJ,38.9351125,-74.90600529999999
484,34011,Cumberland,NJ,39.2587106,-75.06111469999999
485,34013,Essex,NJ,40.7947466,-74.2648829
486,34015,Gloucester,NJ,39.7933809,-75.0494329
487,34017,Hudson,NJ,40.7453199,-74.05351259999999
488,34019,Hunterdon,NJ,40.56695149999999,-74.92087719999999
489,34021,Mercer,NJ,40.3028533,-74.7337069
490,34023,Middlesex,NJ,40.572603,-74.4926541
491,34025,Monmouth,NJ,40.2589455,-74.12399599999999
492,34027,Morris,NJ,40.8336038,-74.54632819999999
493,34029,Ocean,NJ,40.2479729,-74.029843
494,34031,Passaic,NJ,40.8567662,-74.1284764
495,34033,Salem,NJ,39.5717796,-75.46714229999999
496,34035,Somerset,NJ,40.497604,-74.48848679999999
497,34037,Sussex,NJ,41.20981769999999,-74.6076614
498,34039,Union,NJ,40.6975898,-74.26316349999999
499,34041,Warren,NJ,40.6342489,-74.50047959999999
500,35001,Bernalillo,NM,35.30004,-106.5511369
501,35005,Chaves,NM,33.4757392,-104.4723301
502,35006,Cibola,NM,35.0947557,-107.8583868
503,35009,Curry,NM,34.5751567,-103.2663479
504,35013,Dona Ana,NM,32.3930808,-106.8157813
505,35015,Eddy,NM,32.4170622,-104.4723301
506,35043,Sandoval,NM,35.6020667,-106.7234639
507,35049,Santa Fe,NM,35.6869752,-105.937799
508,37001,Alamance,NC,36.0117388,-79.4253776
509,37019,Brunswick,NC,34.0275398,-78.2020387
510,37021,Buncombe,NC,35.59313770000001,-82.4752757
511,37023,Burke,NC,35.7616931,-81.73494199999999
512,37025,Cabarrus,NC,35.4168123,-80.5882803
513,37031,Carteret,NC,34.9019263,-76.5488232
514,37035,Catawba,NC,35.70735579999999,-81.07563449999999
515,37045,Cleveland,NC,35.7331953,-80.6770111
516,37047,Columbus,NC,35.25316979999999,-82.1970584
517,37049,Craven,NC,35.0877672,-77.0564464
518,37051,Cumberland,NC,34.9542604,-78.74762079999999
